Código disciplina;Nome disciplina;Qtd de estudantes;Aprovações;Reprovações;Abandonos;Taxa de aprovação;Taxa de reprovação
FCTE0002;Cálculo para Engenharia 1;75;64;7;4;0.8533;0.0933
FCTE0002;Cálculo para Engenharia 1;68;48;18;2;0.7059;0.2647
FCTE0002;Cálculo para Engenharia 1;78;67;9;2;0.859;0.1154
FCTE0002;Cálculo para Engenharia 1;73;55;13;5;0.7534;0.1781
FCTE0002;Cálculo para Engenharia 1;102;81;19;2;0.7941;0.1863
FCTE0002;Cálculo para Engenharia 1;76;56;16;4;0.7368;0.2105
FCTE0002;Cálculo para Engenharia 1;137;104;28;5;0.7591;0.2044
FCTE0002;Cálculo para Engenharia 1;125;103;16;6;0.824;0.128
FCTE0002;Cálculo para Engenharia 1;113;87;22;4;0.7699;0.1947
FCTE0002;Cálculo para Engenharia 1;79;73;3;3;0.9241;0.038
FCTE0002;Cálculo para Engenharia 1;119;106;10;3;0.8908;0.084
FCTE0003;Cálculo para Engenharia 2;103;86;13;4;0.835;0.1262
FCTE0003;Cálculo para Engenharia 2;103;77;19;7;0.7476;0.1845
FCTE0003;Cálculo para Engenharia 2;78;61;11;6;0.7821;0.141
FCTE0003;Cálculo para Engenharia 2;130;97;24;9;0.7462;0.1846
FCTE0003;Cálculo para Engenharia 2;128;90;31;7;0.7031;0.2422
FCTE0003;Cálculo para Engenharia 2;126;87;35;4;0.6905;0.2778
FCTE0003;Cálculo para Engenharia 2;76;55;16;5;0.7237;0.2105
FCTE0003;Cálculo para Engenharia 2;85;70;11;4;0.8235;0.1294
FCTE0003;Cálculo para Engenharia 2;112;86;19;7;0.7679;0.1696
FCTE0003;Cálculo para Engenharia 2;138;97;35;6;0.7029;0.2536
FCTE0003;Cálculo para Engenharia 2;70;50;14;6;0.7143;0.2
FCTE0003;Cálculo para Engenharia 2;70;53;14;3;0.7571;0.2
FCTE0003;Cálculo para Engenharia 2;120;85;30;5;0.7083;0.25
FCTE0003;Cálculo para Engenharia 2;88;55;25;8;0.625;0.2841
FCTE0003;Cálculo para Engenharia 2;109;79;25;5;0.7248;0.2294
FCTE0003;Cálculo para Engenharia 2;96;69;17;10;0.7188;0.1771
FCTE0003;Cálculo para Engenharia 2;140;99;31;10;0.7071;0.2214
FCTE0003;Cálculo para Engenharia 2;124;94;22;8;0.7581;0.1774
FCTE0003;Cálculo para Engenharia 2;103;76;21;6;0.7379;0.2039
FCTE0003;Cálculo para Engenharia 2;68;51;14;3;0.75;0.2059
FCTE0003;Cálculo para Engenharia 2;137;110;21;6;0.8029;0.1533
FCTE0003;Cálculo para Engenharia 2;112;77;27;8;0.6875;0.2411
FCTE0003;Cálculo para Engenharia 2;135;96;30;9;0.7111;0.2222
FCTE0003;Cálculo para Engenharia 2;73;58;14;1;0.7945;0.1918
FCTE0004;Cálculo para Engenharia 3;131;84;38;9;0.6412;0.2901
FCTE0004;Cálculo para Engenharia 3;139;108;28;3;0.777;0.2014
FCTE0004;Cálculo para Engenharia 3;118;88;24;6;0.7458;0.2034
FCTE0004;Cálculo para Engenharia 3;133;78;38;17;0.5865;0.2857
FCTE0004;Cálculo para Engenharia 3;133;90;33;10;0.6767;0.2481
FCTE0004;Cálculo para Engenharia 3;125;84;36;5;0.672;0.288
FCTE0004;Cálculo para Engenharia 3;68;45;19;4;0.6618;0.2794
FCTE0004;Cálculo para Engenharia 3;124;75;43;6;0.6048;0.3468
FCTE0004;Cálculo para Engenharia 3;130;99;22;9;0.7615;0.1692
FCTE0004;Cálculo para Engenharia 3;118;78;31;9;0.661;0.2627
FCTE0004;Cálculo para Engenharia 3;90;64;22;4;0.7111;0.2444
FCTE0004;Cálculo para Engenharia 3;119;81;28;10;0.6807;0.2353
FCTE0004;Cálculo para Engenharia 3;73;52;13;8;0.7123;0.1781
FCTE0004;Cálculo para Engenharia 3;120;75;35;10;0.625;0.2917
FCTE0004;Cálculo para Engenharia 3;77;43;29;5;0.5584;0.3766
FCTE0004;Cálculo para Engenharia 3;132;95;31;6;0.7197;0.2348
FCTE0004;Cálculo para Engenharia 3;126;89;28;9;0.7063;0.2222
FCTE0004;Cálculo para Engenharia 3;140;99;31;10;0.7071;0.2214
FCTE0004;Cálculo para Engenharia 3;81;58;14;9;0.716;0.1728
FCTE0004;Cálculo para Engenharia 3;109;82;22;5;0.7523;0.2018
FCTE0004;Cálculo para Engenharia 3;77;50;23;4;0.6494;0.2987
FCTE0004;Cálculo para Engenharia 3;125;87;28;10;0.696;0.224
FCTE0004;Cálculo para Engenharia 3;95;64;24;7;0.6737;0.2526
FCTE0004;Cálculo para Engenharia 3;133;87;36;10;0.6541;0.2707
FCTE0005;Álgebra Linear;105;74;28;3;0.7048;0.2667
FCTE0005;Álgebra Linear;105;66;36;3;0.6286;0.3429
FCTE0005;Álgebra Linear;100;73;25;2;0.73;0.25
FCTE0005;Álgebra Linear;71;54;16;1;0.7606;0.2254
FCTE0005;Álgebra Linear;82;60;19;3;0.7317;0.2317
FCTE0005;Álgebra Linear;95;67;24;4;0.7053;0.2526
FCTE0005;Álgebra Linear;131;100;29;2;0.7634;0.2214
FCTE0005;Álgebra Linear;103;68;35;0;0.6602;0.3398
FCTE0005;Álgebra Linear;92;70;21;1;0.7609;0.2283
FCTE0005;Álgebra Linear;110;78;28;4;0.7091;0.2545
FCTE0005;Álgebra Linear;73;48;25;0;0.6575;0.3425
FCTE0005;Álgebra Linear;95;58;36;1;0.6105;0.3789
FCTE0005;Álgebra Linear;109;61;47;1;0.5596;0.4312
FCTE0005;Álgebra Linear;98;72;26;0;0.7347;0.2653
FCTE0005;Álgebra Linear;101;74;25;2;0.7327;0.2475
FCTE0005;Álgebra Linear;83;63;20;0;0.759;0.241
FCTE0005;Álgebra Linear;77;59;18;0;0.7662;0.2338
FCTE0005;Álgebra Linear;139;86;51;2;0.6187;0.3669
FCTE0005;Álgebra Linear;97;65;30;2;0.6701;0.3093
FCTE0005;Álgebra Linear;85;58;27;0;0.6824;0.3176
FCTE0005;Álgebra Linear;66;49;15;2;0.7424;0.2273
FCTE0005;Álgebra Linear;85;52;28;5;0.6118;0.3294
FCTE0005;Álgebra Linear;108;76;32;0;0.7037;0.2963
FCTE0005;Álgebra Linear;125;79;42;4;0.632;0.336
FCTE0006;Probabilidade e Estatística;103;70;31;2;0.6796;0.301
FCTE0006;Probabilidade e Estatística;116;78;32;6;0.6724;0.2759
FCTE0006;Probabilidade e Estatística;84;58;21;5;0.6905;0.25
FCTE0006;Probabilidade e Estatística;76;63;13;0;0.8289;0.1711
FCTE0006;Probabilidade e Estatística;103;74;27;2;0.7184;0.2621
FCTE0006;Probabilidade e Estatística;111;81;28;2;0.7297;0.2523
FCTE0006;Probabilidade e Estatística;131;96;31;4;0.7328;0.2366
FCTE0006;Probabilidade e Estatística;76;46;29;1;0.6053;0.3816
FCTE0006;Probabilidade e Estatística;83;47;32;4;0.5663;0.3855
FCTE0006;Probabilidade e Estatística;68;47;20;1;0.6912;0.2941
FCTE0006;Probabilidade e Estatística;102;72;29;1;0.7059;0.2843
FCTE0006;Probabilidade e Estatística;114;81;29;4;0.7105;0.2544
FCTE0006;Probabilidade e Estatística;115;88;23;4;0.7652;0.2
FCTE0006;Probabilidade e Estatística;129;71;51;7;0.5504;0.3953
FCTE0006;Probabilidade e Estatística;139;99;39;1;0.7122;0.2806
FCTE0006;Probabilidade e Estatística;116;79;34;3;0.681;0.2931
FCTE0006;Probabilidade e Estatística;88;51;34;3;0.5795;0.3864
FCTE0006;Probabilidade e Estatística;126;94;32;0;0.746;0.254
FCTE0006;Probabilidade e Estatística;135;81;52;2;0.6;0.3852
FCTE0006;Probabilidade e Estatística;86;51;30;5;0.593;0.3488
FCTE0006;Probabilidade e Estatística;96;65;29;2;0.6771;0.3021
FCTE0006;Probabilidade e Estatística;104;72;30;2;0.6923;0.2885
FCTE0006;Probabilidade e Estatística;95;75;19;1;0.7895;0.2
FCTE0006;Probabilidade e Estatística;131;73;52;6;0.5573;0.3969
FCTE0007;Física 1;109;83;19;7;0.7615;0.1743
FCTE0007;Física 1;69;48;21;0;0.6957;0.3043
FCTE0007;Física 1;92;74;13;5;0.8043;0.1413
FCTE0007;Física 1;145;126;14;5;0.869;0.0966
FCTE0007;Física 1;74;66;6;2;0.8919;0.0811
FCTE0007;Física 1;78;64;13;1;0.8205;0.1667
FCTE0007;Física 1;116;106;3;7;0.9138;0.0259
FCTE0007;Física 1;145;133;3;9;0.9172;0.0207
FCTE0007;Física 1;125;110;11;4;0.88;0.088
FCTE0007;Física 1;134;110;18;6;0.8209;0.1343
FCTE0007;Física 1;107;96;8;3;0.8972;0.0748
FCTE0007;Física 1;100;90;9;1;0.9;0.09
FCTE0007;Física 1;105;78;20;7;0.7429;0.1905
FCTE0007;Física 1;117;97;18;2;0.8291;0.1538
FCTE0007;Física 1;132;109;21;2;0.8258;0.1591
FCTE0007;Física 1;132;109;16;7;0.8258;0.1212
FCTE0007;Física 1;127;106;19;2;0.8346;0.1496
FCTE0007;Física 1;126;112;10;4;0.8889;0.0794
FCTE0007;Física 1;116;93;19;4;0.8017;0.1638
FCTE0007;Física 1;129;117;10;2;0.907;0.0775
FCTE0007;Física 1;106;87;16;3;0.8208;0.1509
FCTE0007;Física 1;145;126;12;7;0.869;0.0828
FCTE0007;Física 1;96;79;13;4;0.8229;0.1354
FCTE0007;Física 1;84;69;14;1;0.8214;0.1667
FCTE0008;Física 2;73;62;7;4;0.8493;0.0959
FCTE0008;Física 2;107;78;18;11;0.729;0.1682
FCTE0008;Física 2;74;59;15;0;0.7973;0.2027
FCTE0008;Física 2;67;60;2;5;0.8955;0.0299
FCTE0008;Física 2;92;68;17;7;0.7391;0.1848
FCTE0008;Física 2;115;96;9;10;0.8348;0.0783
FCTE0008;Física 2;78;68;6;4;0.8718;0.0769
FCTE0008;Física 2;127;94;27;6;0.7402;0.2126
FCTE0008;Física 2;69;60;6;3;0.8696;0.087
FCTE0008;Física 2;68;45;22;1;0.6618;0.3235
FCTE0008;Física 2;110;99;7;4;0.9;0.0636
FCTE0008;Física 2;139;115;14;10;0.8273;0.1007
FCTE0008;Física 2;111;93;11;7;0.8378;0.0991
FCTE0008;Física 2;78;57;15;6;0.7308;0.1923
FCTE0008;Física 2;76;63;7;6;0.8289;0.0921
FCTE0008;Física 2;98;83;13;2;0.8469;0.1327
FCTE0008;Física 2;80;64;8;8;0.8;0.1
FCTE0008;Física 2;127;105;18;4;0.8268;0.1417
FCTE0008;Física 2;97;76;15;6;0.7835;0.1546
FCTE0008;Física 2;125;94;21;10;0.752;0.168
FCTE0008;Física 2;101;93;6;2;0.9208;0.0594
FCTE0008;Física 2;124;87;30;7;0.7016;0.2419
FCTE0008;Física 2;80;62;16;2;0.775;0.2
FCTE0008;Física 2;116;88;18;10;0.7586;0.1552
FCTE0009;Física Experimental;108;78;17;13;0.7222;0.1574
FCTE0009;Física Experimental;117;80;32;5;0.6838;0.2735
FCTE0009;Física Experimental;118;84;28;6;0.7119;0.2373
FCTE0009;Física Experimental;119;97;13;9;0.8151;0.1092
FCTE0009;Física Experimental;139;99;23;17;0.7122;0.1655
FCTE0009;Física Experimental;75;53;17;5;0.7067;0.2267
FCTE0009;Física Experimental;90;74;13;3;0.8222;0.1444
FCTE0009;Física Experimental;118;87;17;14;0.7373;0.1441
FCTE0009;Física Experimental;114;85;20;9;0.7456;0.1754
FCTE0009;Física Experimental;144;104;31;9;0.7222;0.2153
FCTE0009;Física Experimental;78;61;15;2;0.7821;0.1923
FCTE0009;Física Experimental;71;57;10;4;0.8028;0.1408
FCTE0009;Física Experimental;127;106;16;5;0.8346;0.126
FCTE0009;Física Experimental;68;52;16;0;0.7647;0.2353
FCTE0009;Física Experimental;130;108;12;10;0.8308;0.0923
FCTE0009;Física Experimental;113;78;29;6;0.6903;0.2566
FCTE0009;Física Experimental;138;105;20;13;0.7609;0.1449
FCTE0009;Física Experimental;143;112;28;3;0.7832;0.1958
FCTE0009;Física Experimental;141;107;26;8;0.7589;0.1844
FCTE0009;Física Experimental;140;105;25;10;0.75;0.1786
FCTE0009;Física Experimental;135;96;29;10;0.7111;0.2148
FCTE0009;Física Experimental;145;113;26;6;0.7793;0.1793
FCTE0009;Física Experimental;74;55;15;4;0.7432;0.2027
FCTE0009;Física Experimental;78;54;14;10;0.6923;0.1795
FCTE0010;Química Geral;87;66;21;0;0.7586;0.2414
FCTE0010;Química Geral;118;80;34;4;0.678;0.2881
FCTE0010;Química Geral;77;58;17;2;0.7532;0.2208
FCTE0010;Química Geral;103;82;21;0;0.7961;0.2039
FCTE0010;Química Geral;140;109;26;5;0.7786;0.1857
FCTE0010;Química Geral;104;77;24;3;0.7404;0.2308
FCTE0010;Química Geral;113;78;32;3;0.6903;0.2832
FCTE0010;Química Geral;71;52;15;4;0.7324;0.2113
FCTE0010;Química Geral;70;58;12;0;0.8286;0.1714
FCTE0010;Química Geral;88;75;12;1;0.8523;0.1364
FCTE0010;Química Geral;107;82;21;4;0.7664;0.1963
FCTE0010;Química Geral;87;69;18;0;0.7931;0.2069
FCTE0010;Química Geral;108;84;21;3;0.7778;0.1944
FCTE0010;Química Geral;132;104;26;2;0.7879;0.197
FCTE0010;Química Geral;87;57;26;4;0.6552;0.2989
FCTE0010;Química Geral;111;88;22;1;0.7928;0.1982
FCTE0010;Química Geral;75;61;12;2;0.8133;0.16
FCTE0010;Química Geral;133;101;28;4;0.7594;0.2105
FCTE0010;Química Geral;75;54;20;1;0.72;0.2667
FCTE0010;Química Geral;91;58;30;3;0.6374;0.3297
FCTE0010;Química Geral;134;107;27;0;0.7985;0.2015
FCTE0010;Química Geral;95;79;16;0;0.8316;0.1684
FCTE0010;Química Geral;72;56;13;3;0.7778;0.1806
FCTE0010;Química Geral;67;59;7;1;0.8806;0.1045
FCTE0011;Desenho Técnico;88;57;23;8;0.6477;0.2614
FCTE0011;Desenho Técnico;107;82;24;1;0.7664;0.2243
FCTE0011;Desenho Técnico;140;110;28;2;0.7857;0.2
FCTE0011;Desenho Técnico;89;64;20;5;0.7191;0.2247
FCTE0011;Desenho Técnico;100;70;26;4;0.7;0.26
FCTE0011;Desenho Técnico;128;93;28;7;0.7266;0.2188
FCTE0011;Desenho Técnico;120;78;36;6;0.65;0.3
FCTE0011;Desenho Técnico;79;57;20;2;0.7215;0.2532
FCTE0011;Desenho Técnico;138;94;30;14;0.6812;0.2174
FCTE0011;Desenho Técnico;109;87;17;5;0.7982;0.156
FCTE0011;Desenho Técnico;102;65;34;3;0.6373;0.3333
FCTE0011;Desenho Técnico;126;85;37;4;0.6746;0.2937
FCTE0011;Desenho Técnico;101;69;26;6;0.6832;0.2574
FCTE0011;Desenho Técnico;113;92;15;6;0.8142;0.1327
FCTE0011;Desenho Técnico;94;62;28;4;0.6596;0.2979
FCTE0011;Desenho Técnico;112;65;37;10;0.5804;0.3304
FCTE0011;Desenho Técnico;93;61;30;2;0.6559;0.3226
FCTE0011;Desenho Técnico;85;64;20;1;0.7529;0.2353
FCTE0011;Desenho Técnico;114;76;34;4;0.6667;0.2982
FCTE0011;Desenho Técnico;93;70;17;6;0.7527;0.1828
FCTE0011;Desenho Técnico;136;103;23;10;0.7574;0.1691
FCTE0011;Desenho Técnico;79;57;17;5;0.7215;0.2152
FCTE0011;Desenho Técnico;89;60;27;2;0.6742;0.3034
FCTE0011;Desenho Técnico;120;93;24;3;0.775;0.2
FCTE0012;Métodos Numéricos;138;107;29;2;0.7754;0.2101
FCTE0012;Métodos Numéricos;92;68;22;2;0.7391;0.2391
FCTE0012;Métodos Numéricos;83;54;26;3;0.6506;0.3133
FCTE0012;Métodos Numéricos;89;54;26;9;0.6067;0.2921
FCTE0012;Métodos Numéricos;81;57;21;3;0.7037;0.2593
FCTE0012;Métodos Numéricos;105;72;27;6;0.6857;0.2571
FCTE0012;Métodos Numéricos;130;98;26;6;0.7538;0.2
FCTE0012;Métodos Numéricos;125;91;29;5;0.728;0.232
FCTE0012;Métodos Numéricos;128;82;39;7;0.6406;0.3047
FCTE0012;Métodos Numéricos;141;104;25;12;0.7376;0.1773
FCTE0012;Métodos Numéricos;105;71;27;7;0.6762;0.2571
FCTE0012;Métodos Numéricos;139;79;46;14;0.5683;0.3309
FCTE0012;Métodos Numéricos;110;71;33;6;0.6455;0.3
FCTE0012;Métodos Numéricos;125;98;23;4;0.784;0.184
FCTE0012;Métodos Numéricos;95;69;23;3;0.7263;0.2421
FCTE0012;Métodos Numéricos;94;63;28;3;0.6702;0.2979
FCTE0012;Métodos Numéricos;75;59;11;5;0.7867;0.1467
FCTE0012;Métodos Numéricos;81;57;24;0;0.7037;0.2963
FCTE0012;Métodos Numéricos;126;74;50;2;0.5873;0.3968
FCTE0012;Métodos Numéricos;134;99;27;8;0.7388;0.2015
FCTE0012;Métodos Numéricos;70;57;11;2;0.8143;0.1571
FCTE0012;Métodos Numéricos;97;66;26;5;0.6804;0.268
FCTE0012;Métodos Numéricos;112;74;31;7;0.6607;0.2768
FCTE0012;Métodos Numéricos;134;108;21;5;0.806;0.1567
FCTE0013;Equações Diferenciais;137;91;35;11;0.6642;0.2555
FCTE0013;Equações Diferenciais;123;67;47;9;0.5447;0.3821
FCTE0013;Equações Diferenciais;121;77;36;8;0.6364;0.2975
FCTE0013;Equações Diferenciais;71;42;25;4;0.5915;0.3521
FCTE0013;Equações Diferenciais;74;43;27;4;0.5811;0.3649
FCTE0013;Equações Diferenciais;119;82;28;9;0.6891;0.2353
FCTE0013;Equações Diferenciais;65;41;18;6;0.6308;0.2769
FCTE0013;Equações Diferenciais;144;95;35;14;0.6597;0.2431
FCTE0013;Equações Diferenciais;79;39;34;6;0.4937;0.4304
FCTE0013;Equações Diferenciais;89;63;21;5;0.7079;0.236
FCTE0013;Equações Diferenciais;97;66;26;5;0.6804;0.268
FCTE0013;Equações Diferenciais;142;103;29;10;0.7254;0.2042
FCTE0013;Equações Diferenciais;129;83;36;10;0.6434;0.2791
FCTE0013;Equações Diferenciais;100;65;30;5;0.65;0.3
FCTE0013;Equações Diferenciais;94;69;17;8;0.734;0.1809
FCTE0013;Equações Diferenciais;66;47;14;5;0.7121;0.2121
FCTE0013;Equações Diferenciais;88;55;26;7;0.625;0.2955
FCTE0013;Equações Diferenciais;90;49;36;5;0.5444;0.4
FCTE0013;Equações Diferenciais;140;91;41;8;0.65;0.2929
FCTE0013;Equações Diferenciais;84;44;36;4;0.5238;0.4286
FCTE0013;Equações Diferenciais;122;89;25;8;0.7295;0.2049
FCTE0013;Equações Diferenciais;128;93;30;5;0.7266;0.2344
FCTE0013;Equações Diferenciais;81;52;26;3;0.642;0.321
FCTE0013;Equações Diferenciais;71;38;30;3;0.5352;0.4225
FCTE0014;Engenharia Econômica;133;109;18;6;0.8195;0.1353
FCTE0014;Engenharia Econômica;126;90;26;10;0.7143;0.2063
FCTE0014;Engenharia Econômica;122;104;4;14;0.8525;0.0328
FCTE0014;Engenharia Econômica;134;108;14;12;0.806;0.1045
FCTE0014;Engenharia Econômica;69;60;7;2;0.8696;0.1014
FCTE0014;Engenharia Econômica;82;62;10;10;0.7561;0.122
FCTE0014;Engenharia Econômica;70;56;5;9;0.8;0.0714
FCTE0014;Engenharia Econômica;82;59;16;7;0.7195;0.1951
FCTE0014;Engenharia Econômica;128;105;10;13;0.8203;0.0781
FCTE0014;Engenharia Econômica;76;68;5;3;0.8947;0.0658
FCTE0014;Engenharia Econômica;112;87;22;3;0.7768;0.1964
FCTE0014;Engenharia Econômica;137;110;13;14;0.8029;0.0949
FCTE0014;Engenharia Econômica;85;72;8;5;0.8471;0.0941
FCTE0014;Engenharia Econômica;123;105;10;8;0.8537;0.0813
FCTE0014;Engenharia Econômica;81;74;5;2;0.9136;0.0617
FCTE0014;Engenharia Econômica;91;79;7;5;0.8681;0.0769
FCTE0014;Engenharia Econômica;106;80;21;5;0.7547;0.1981
FCTE0014;Engenharia Econômica;93;71;10;12;0.7634;0.1075
FCTE0014;Engenharia Econômica;106;82;14;10;0.7736;0.1321
FCTE0014;Engenharia Econômica;87;66;14;7;0.7586;0.1609
FCTE0014;Engenharia Econômica;137;93;30;14;0.6788;0.219
FCTE0014;Engenharia Econômica;91;75;9;7;0.8242;0.0989
FCTE0014;Engenharia Econômica;137;99;25;13;0.7226;0.1825
FCTE0014;Engenharia Econômica;145;114;17;14;0.7862;0.1172
FCTE0015;Gestão da Produção e Qualidade;144;110;32;2;0.7639;0.2222
FCTE0015;Gestão da Produção e Qualidade;112;93;15;4;0.8304;0.1339
FCTE0015;Gestão da Produção e Qualidade;116;91;21;4;0.7845;0.181
FCTE0015;Gestão da Produção e Qualidade;131;106;19;6;0.8092;0.145
FCTE0015;Gestão da Produção e Qualidade;138;107;29;2;0.7754;0.2101
FCTE0015;Gestão da Produção e Qualidade;134;119;11;4;0.8881;0.0821
FCTE0015;Gestão da Produção e Qualidade;74;64;9;1;0.8649;0.1216
FCTE0015;Gestão da Produção e Qualidade;91;76;15;0;0.8352;0.1648
FCTE0015;Gestão da Produção e Qualidade;103;86;15;2;0.835;0.1456
FCTE0015;Gestão da Produção e Qualidade;67;47;15;5;0.7015;0.2239
FCTE0015;Gestão da Produção e Qualidade;134;114;18;2;0.8507;0.1343
FCTE0015;Gestão da Produção e Qualidade;92;87;5;0;0.9457;0.0543
FCTE0015;Gestão da Produção e Qualidade;93;82;10;1;0.8817;0.1075
FCTE0015;Gestão da Produção e Qualidade;100;81;16;3;0.81;0.16
FCTE0015;Gestão da Produção e Qualidade;123;108;12;3;0.878;0.0976
FCTE0015;Gestão da Produção e Qualidade;69;61;7;1;0.8841;0.1014
FCTE0015;Gestão da Produção e Qualidade;133;109;21;3;0.8195;0.1579
FCTE0015;Gestão da Produção e Qualidade;105;85;13;7;0.8095;0.1238
FCTE0015;Gestão da Produção e Qualidade;101;78;18;5;0.7723;0.1782
FCTE0015;Gestão da Produção e Qualidade;108;92;14;2;0.8519;0.1296
FCTE0015;Gestão da Produção e Qualidade;89;79;10;0;0.8876;0.1124
FCTE0015;Gestão da Produção e Qualidade;114;89;23;2;0.7807;0.2018
FCTE0015;Gestão da Produção e Qualidade;85;65;17;3;0.7647;0.2
FCTE0015;Gestão da Produção e Qualidade;82;65;15;2;0.7927;0.1829
FCTE0016;Aerodinâmica;28;20;6;2;0.7143;0.2143
FCTE0016;Aerodinâmica;54;43;8;3;0.7963;0.1481
FCTE0016;Aerodinâmica;34;31;2;1;0.9118;0.0588
FCTE0016;Aerodinâmica;54;40;14;0;0.7407;0.2593
FCTE0016;Aerodinâmica;21;16;2;3;0.7619;0.0952
FCTE0016;Aerodinâmica;49;36;10;3;0.7347;0.2041
FCTE0016;Aerodinâmica;24;16;7;1;0.6667;0.2917
FCTE0016;Aerodinâmica;79;68;8;3;0.8608;0.1013
FCTE0016;Aerodinâmica;27;22;4;1;0.8148;0.1481
FCTE0016;Aerodinâmica;43;31;8;4;0.7209;0.186
FCTE0016;Aerodinâmica;42;35;6;1;0.8333;0.1429
FCTE0016;Aerodinâmica;56;44;5;7;0.7857;0.0893
FCTE0016;Aerodinâmica;43;34;6;3;0.7907;0.1395
FCTE0016;Aerodinâmica;65;53;11;1;0.8154;0.1692
FCTE0016;Aerodinâmica;61;55;6;0;0.9016;0.0984
FCTE0016;Aerodinâmica;20;18;1;1;0.9;0.05
FCTE0016;Aerodinâmica;29;24;3;2;0.8276;0.1034
FCTE0016;Aerodinâmica;82;63;15;4;0.7683;0.1829
FCTE0016;Aerodinâmica;33;26;7;0;0.7879;0.2121
FCTE0016;Aerodinâmica;72;57;14;1;0.7917;0.1944
FCTE0016;Aerodinâmica;81;58;19;4;0.716;0.2346
FCTE0016;Aerodinâmica;58;38;16;4;0.6552;0.2759
FCTE0016;Aerodinâmica;61;45;14;2;0.7377;0.2295
FCTE0016;Aerodinâmica;38;24;9;5;0.6316;0.2368
FCTE0017;Mecânica de Voo;62;49;10;3;0.7903;0.1613
FCTE0017;Mecânica de Voo;36;21;11;4;0.5833;0.3056
FCTE0017;Mecânica de Voo;74;56;15;3;0.7568;0.2027
FCTE0017;Mecânica de Voo;76;60;14;2;0.7895;0.1842
FCTE0017;Mecânica de Voo;34;29;4;1;0.8529;0.1176
FCTE0017;Mecânica de Voo;45;34;10;1;0.7556;0.2222
FCTE0017;Mecânica de Voo;49;39;9;1;0.7959;0.1837
FCTE0017;Mecânica de Voo;38;29;8;1;0.7632;0.2105
FCTE0017;Mecânica de Voo;25;19;6;0;0.76;0.24
FCTE0017;Mecânica de Voo;78;68;9;1;0.8718;0.1154
FCTE0017;Mecânica de Voo;29;19;8;2;0.6552;0.2759
FCTE0017;Mecânica de Voo;59;43;11;5;0.7288;0.1864
FCTE0017;Mecânica de Voo;29;25;2;2;0.8621;0.069
FCTE0017;Mecânica de Voo;30;24;5;1;0.8;0.1667
FCTE0017;Mecânica de Voo;73;51;18;4;0.6986;0.2466
